,capex_tres_meses,fluxo_caixa_livre_tres_meses,capex_doze_meses,fluxo_caixa_livre_doze_meses,datas,tic
0,-32.6,45.5,-89.5,-84.03,30/09/2025,AALR3
1,-20.39,69.69,-87.0,-112.37,30/06/2025,AALR3
2,-16.19,57.72,-90.56,-63.37,31/03/2025,AALR3
3,-20.32,-256.93,-99.39,-140.41,31/12/2024,AALR3
4,-30.1,17.16,-90.37,106.59,30/09/2024,AALR3
5,-23.95,118.68,-81.08,86.15,30/06/2024,AALR3
6,-25.01,-19.32,-82.65,-19.34,31/03/2024,AALR3
7,-11.3,-9.93,-91.52,10.78,31/12/2023,AALR3
8,-20.81,-3.28,-116.69,-59.54,30/09/2023,AALR3
9,-25.52,13.2,-127.74,-77.4,30/06/2023,AALR3
10,-33.88,10.8,-125.64,80.13,31/03/2023,AALR3
11,-36.48,-80.26,-113.01,74.29,31/12/2022,AALR3
12,-31.86,-21.14,-103.66,157.23,30/09/2022,AALR3
13,-23.42,170.72,-99.3,170.93,30/06/2022,AALR3
14,-21.25,4.96,-101.47,22.47,31/03/2022,AALR3
15,-27.13,2.68,-100.49,48.64,31/12/2021,AALR3
16,-27.5,-7.44,-96.24,70.45,30/09/2021,AALR3
17,-25.59,22.27,-86.59,58.39,30/06/2021,AALR3
18,-20.27,31.13,-70.0,45.59,31/03/2021,AALR3
19,-22.87,24.49,-66.71,51.16,31/12/2020,AALR3
20,-17.86,-19.5,-65.1,66.82,30/09/2020,AALR3
21,-9.0,9.47,-67.37,120.06,30/06/2020,AALR3
22,-16.98,36.7,-76.22,152.28,31/03/2020,AALR3
23,-21.27,40.16,-75.3,138.11,31/12/2019,AALR3
24,-20.13,34.07,-78.89,151.37,30/09/2019,AALR3
25,-17.85,41.36,-77.26,110.36,30/06/2019,AALR3
26,-16.06,22.53,-83.02,93.91,31/03/2019,AALR3
27,-24.86,53.42,-86.03,75.16,31/12/2018,AALR3
28,-18.5,-6.95,-87.21,46.17,30/09/2018,AALR3
29,-23.61,24.91,-90.24,66.58,30/06/2018,AALR3
30,-19.07,3.78,-118.27,26.05,31/03/2018,AALR3
31,-26.03,24.43,-149.02,-14.83,31/12/2017,AALR3
32,-21.53,13.46,-178.99,-66.99,30/09/2017,AALR3
33,-51.63,-15.62,-196.6,-95.49,30/06/2017,AALR3
34,-49.83,-37.1,-136.97,-55.7,31/03/2017,AALR3
